year,note,size,country,value
2030,estimate,50-180 nm,EU,16.6
2030,estimate,50-180 nm,China,33.1
2030,estimate,50-180 nm,Taiwan,12.1
2030,estimate,50-180 nm,USA,10.1
2030,estimate,50-180 nm,Japan,12.7
2030,estimate,50-180 nm,South Korea,5.7
2030,estimate,50-180 nm,South East Asia,9.6
2023,NA,50-180 nm,EU,16.5
2023,NA,50-180 nm,China,30.4
2023,NA,50-180 nm,Taiwan,13.6
2023,NA,50-180 nm,USA,9.6
2023,NA,50-180 nm,Japan,14.3
2023,NA,50-180 nm,South Korea,7.1
2023,NA,50-180 nm,South East Asia,8.5
2030,estimate,20-45 nm,EU,5.7
2030,estimate,20-45 nm,China,30.8
2030,estimate,20-45 nm,Taiwan,30
2030,estimate,20-45 nm,USA,15
2030,estimate,20-45 nm,Japan,9.3
2030,estimate,20-45 nm,South Korea,2.5
2030,estimate,20-45 nm,South East Asia,6.7
2023,NA,20-45 nm,EU,5.8
2023,NA,20-45 nm,China,28.2
2023,NA,20-45 nm,Taiwan,36
2023,NA,20-45 nm,USA,10.9
2023,NA,20-45 nm,Japan,8.9
2023,NA,20-45 nm,South Korea,3.7
2023,NA,20-45 nm,South East Asia,6.5
