question,us,eu
Renewed fighting in Gaza,Tier I/High risk,Tier II/Moderate risk
A Russia-favourable peace or trajectory in the war,Tier I/High risk,Tier I/High risk
US action in Venezuela,Tier I/High risk,Tier III/Remote risk
US political violence,Tier I/High risk,Tier II/Moderate risk
New Israel-Iran confrontation,Tier I/High risk,Tier II/Moderate risk
Hybrid attack on EU or US soil,Tier I/High risk,Tier I/High risk
China-Taiwan conflict,Tier I/High risk,Tier I/High risk
NATO-Russia war,Tier I/High risk,Tier II/Moderate risk
Conflict in Korean peninsula,Tier I/High risk,Tier III/Remote risk
War in Sudan escalates,Tier II/Moderate risk,Tier III/Remote risk
Somalia crisis deepens,Tier II/Moderate risk,Tier III/Remote risk
Houthi attacks in Red Sea,Tier II/Moderate risk,Tier II/Moderate risk
State collapse in Lebanon,Tier II/Moderate risk,Tier III/Remote risk
India-Pakistan confrontation,Tier II/Moderate risk,Tier III/Remote risk
Confrontation in South China Sea,Tier II/Moderate risk,Tier II/Moderate risk
Political violence in Mozambique,Tier III/Remote risk,Tier III/Remote risk
Interstate conflict in Horn of Africa,Tier III/Remote risk,Tier III/Remote risk
